given name,gender
Barbara,female given name
Amanda,female given name
Diana,female given name
Jessica,female given name
Olivia,female given name
Angela,female given name
Sandra,female given name
Alice,female given name
Sara,female given name
Paula,female given name
Aurora,female given name
Lena,female given name
Megan,female given name
Pamela,female given name
Irene,female given name
Martina,female given name
Mia,female given name
Elizabeth,female given name
Anastasia,female given name
Abigail,female given name
Doris,female given name
Vanessa,female given name
Karen,female given name
Samantha,female given name
Charlotte,female given name
Anne,female given name
Jennifer,female given name
Erika,female given name
Patricia,female given name
Zoe,female given name
Evelyn,female given name
Lucy,female given name
Natalia,female given name
Sophie,female given name
Julie,female given name
Dolores,female given name
Betty,female given name
Ellen,female given name
Berenice,female given name
Margaret,female given name
Julia,female given name
Claudia,female given name
Eleanor,female given name
Natalie,female given name
Susan,female given name
Karina,female given name
Katherine,female given name
Amelia,female given name
Lisa,female given name
Virginia,female given name
Antonia,female given name
Fiona,female given name
Arabella,female given name
Mary,female given name
Audrey,female given name
Livia,female given name
Daria,female given name
Eugenia,female given name
Marianne,female given name
Amber,female given name
Victoria,female given name
Rachel,female given name
Cynthia,female given name
Helen,female given name
Janet,female given name
Claire,female given name
Imogen,female given name
Karla,female given name
Ruth,female given name
Natasha,female given name
Adele,female given name
Donna,female given name
Brittany,female given name
Serena,female given name
Lydia,female given name
Daniela,female given name
Judith,female given name
Elisabeth,female given name
Roberta,female given name
May,female given name
Grace,female given name
Annie,female given name
Daisy,female given name
Edna,female given name
Bianca,female given name
Henrietta,female given name
Dorothy,female given name
Harriet,female given name
Penelope,female given name
Eileen,female given name
Valeria,female given name
Minna,female given name
Sarah,female given name
Georgia,female given name
Jacqueline,female given name
Jenny,female given name
Hannah,female given name
Kendra,female given name
Maggie,female given name
Wendy,female given name
Josephine,female given name
Tessa,female given name
Thelma,female given name
Sonia,female given name
Michelle,female given name
Nathalie,female given name
Lila,female given name
Frances,female given name
Liana,female given name
Adelaide,female given name
Adrienne,female given name
Ann,female given name
Wilma,female given name
Cordelia,female given name
Elaine,female given name
Eve,female given name
Ellie,female given name
Winifred,female given name
Cheryl,female given name
Katie,female given name
Caroline,female given name
Heather,female given name
Martine,female given name
Annette,female given name
Emily,female given name
Millicent,female given name
Alexa,female given name
Elfrida,female given name
Gwendolyn,female given name
Jasmine,female given name
Glenda,female given name
Chelsea,female given name
Lucinda,female given name
Medea,female given name
Alison,female given name
Cindy,female given name
Priscilla,female given name
Kitty,female given name
Pauline,female given name
Larissa,female given name
Moira,female given name
Maeve,female given name
Gillian,female given name
April,female given name
Felicity,female given name
Phoebe,female given name
Crystal,female given name
Ruby,female given name
Drusilla,female given name
Marilyn,female given name
Lorna,female given name
Debra,female given name
Hope,female given name
Katrina,female given name
Dawn,female given name
Celine,female given name
Etta,female given name
Rosemary,female given name
Fran,female given name
Lois,female given name
Melody,female given name
Geraldine,female given name
Afra,female given name
Maureen,female given name
Tracy,female given name
Corinna,female given name
Isla,female given name
Bernadette,female given name
Lorelei,female given name
Lilla,female given name
Kaylee,female given name
Rosanna,female given name
Cathy,female given name
Bridget,female given name
Charity,female given name
Clarice,female given name
Suzanne,female given name
Edwina,female given name
Bethany,female given name
Clarissa,female given name
Juliette,female given name
Alanna,female given name
Darlene,female given name
Debbie,female given name
Selena,female given name
Gwendoline,female given name
Tammy,female given name
Beverly,female given name
Justine,female given name
Anne-Marie,female given name
Tess,female given name
Liz,female given name
Abby,female given name
Deanna,female given name
Fabienne,female given name
Violette,female given name
Aimee,female given name
Myrna,female given name
Prudence,female given name
Rhoda,female given name
Rhonda,female given name
Iona,female given name
Shawna,female given name
Deana,female given name
Bronwyn,female given name
Aviva,female given name
Alisha,female given name
Mavis,female given name
Julianne,female given name
Georgiana,female given name
Pearl,female given name
Genevieve,female given name
Josie,female given name
Allegra,female given name
Brandy,female given name
Winnie,female given name
Carrie,female given name
Corinne,female given name
Olena,female given name
Maddy,female given name
Kathleen,female given name
Summer,female given name
Thomasina,female given name
Gail,female given name
Mariah,female given name
Philippa,female given name
Shana,female given name
Penny,female given name
Marion,female given name
Hagar,female given name
Karyne,female given name
Lori,female given name
Leanne,female given name
Myrtle,female given name
Laurie,female given name
Lenny,female given name
Tyler,female given name
Jean,female given name
Miley,female given name
Minnie,female given name
Giselle,female given name
Cathleen,female given name
Afifa,female given name
Callista,female given name
Shanice,female given name
Cara,female given name
Cherie,female given name
Keira,female given name
Colleen,female given name
Tonya,female given name
Louisa,female given name
Catharine,female given name
Cherry,female given name
Janice,female given name
Madge,female given name
Patience,female given name
Kay,female given name
Janie,female given name
Poppy,female given name
Susannah,female given name
Madison,female given name
Suzette,female given name
Millie,female given name
Nell,female given name
Lottie,female given name
Jemma,female given name
Suzanna,female given name
Phyllida,female given name
Lizette,female given name
Corina,female given name
Rolanda,female given name
Sherry,female given name
Larysa,female given name
Lulu,female given name
Bobbi,female given name
Tonja,female given name
Bryony,female given name
Kirstin,female given name
Latoya,female given name
Hattie,female given name
Hetty,female given name
Sunshine,female given name
Alaina,female given name
Autumn,female given name
Laurine,female given name
Briana,female given name
Destiny,female given name
Cadence,female given name
Kierra,female given name
Richarda,female given name
Judy,female given name
Gardenia,female given name
Aja,female given name
Averil,female given name
Bette,female given name
Celestia,female given name
Laureen,female given name
Lauretta,female given name
Lynnette,female given name
Micky,female given name
Nevaeh,female given name
Opal,female given name
Persis,female given name
Essie,female given name
Harriette,female given name
Merry,female given name
Patti,female given name
Precious,female given name
America,female given name
Petronilla,female given name
Bessie,female given name
Venetia,female given name
Shona,female given name
Rosamond,female given name
Vikki,female given name
Nanette,female given name
Lauryn,female given name
Carlene,female given name
Gwendolin,female given name
Jewel,female given name
Dottie,female given name
Alexandria,female given name
Cosette,female given name
Kiera,female given name
Carolyn,female given name
Lucille,female given name
Debrah,female given name
Milly,female given name
Katey,female given name
Brandie,female given name
Mylene,female given name
Nettie,female given name
Sheena,female given name
Lilibeth,female given name
Corrie,female given name
Brittney,female given name
Tasha,female given name
Midge,female given name
Kameron,female given name
Sibyl,female given name
Jorja,female given name
Chrissie,female given name
Allyson,female given name
Lysette,female given name
Luann,female given name
Jocelin,female given name
Jordyn,female given name
Ireen,female given name
Chrissy,female given name
Effie,female given name
Hele,female given name
Nichole,female given name
Jetti,female given name
Jamey,female given name
Mary Ellen,female given name
Lorinda,female given name
Elinore,female given name
Taissa,female given name
Phillipa,female given name
Glory,female given name
Rose Marie,female given name
Pixie,female given name
Sharleen,female given name
Karly,female given name
LaTonya,female given name
Haidee,female given name
Tish,female given name
Lilibet,female given name
Ellesse,female given name
Evin,female given name
Jenette,female given name
Allette,female given name
Adrina,female given name
Cathie,female given name
Hermia,female given name
Hettie,female given name
Celinda,female given name
Marcie,female given name
Marlee,female given name
Mary Louise,female given name
Richeldis,female given name
Thurza,female given name
Mily,female given name
Etheldreda,female given name
Tracey,female given name
Latasha,female given name
Peyton,female given name
Grey,female given name
Nigella,female given name
Jany,female given name
Marilyne,female given name
Marian,female given name
Mary Ann,female given name
Nuri,female given name
Fee,female given name
Hester,female given name
Clemence,female given name
Sherie,female given name
Tia,female given name
Andrea,female given name
Ethelreda,female given name
Tamsin,female given name
Jacquetta,female given name
Amie,female given name
Kimberley,female given name
Gracie,female given name
Hodierna,female given name
Mary-Anne,female given name
Lil,female given name
Emmylou,female given name
Brandi,female given name
Sheri,female given name
Traci,female given name
Leisha,female given name
Thomasine,female given name
Jenelle,female given name
Scarlet,female given name
Dionne,female given name
Marguerita,female given name
Britney,female given name
Cyndee,female given name
Kaci,female given name
Bridgette,female given name
Mary Elizabeth,female given name
Ginnifer,female given name
Merrilyn,female given name
Maria Theresa,female given name
Sinead,female given name
Krissy,female given name
Marva,female given name
Lacy,female given name
Ashlyn,female given name
Alene,female given name
Charisma,female given name
Maddie,female given name
Erma,female given name
Roslyn,female given name
Chynna,female given name
Keauna,female given name
Danette,female given name
Ronna-Rae,female given name
Jesinta,female given name
Roxcy,female given name
Barbra,female given name
Marybeth,female given name
Melissa Ann,female given name
Mary Catherine,female given name
Buffy,female given name
Sarah-Jane,female given name
Érica,female given name
Amy Louise,female given name
Tichina,female given name
Reba,female given name
Bethanie,female given name
Rayana,female given name
Donda,female given name
Louella,female given name
DeeDee,female given name
Hollie,female given name
